,lgbm_gain,shap_mean_abs,lgbm_gain_norm,shap_mean_abs_norm,composite
amount_drift,10281,0.2801818162747685,1.0,1.0,1.0
D3,2250,0.26350694509548384,0.21885030639042893,0.9404855339972099,0.5796679201938194
D2,4397,0.16324553448742665,0.42768213208831823,0.5826414314030113,0.5051617817456647
D15,3263,0.1371497146122215,0.31738157766754205,0.48950255386210223,0.4034420657648221
D4,2919,0.11392386807056787,0.2839217974905165,0.40660692969041606,0.3452643635904663
TransactionDT,4978,0.05675338018078031,0.48419414453846904,0.2025591129908425,0.3433766287646558
id_17,1127,0.141958353447103,0.10961968680089486,0.5066651195803777,0.3081424031906363
D1,3520,0.06992728709448988,0.34237914599747105,0.2495782489535782,0.29597869747552463
D10,2873,0.07304939773334086,0.2794475245598677,0.2607214083504364,0.27008446645515205
D8,2168,0.08798750233832749,0.21087442855753333,0.3140371616837545,0.26245579512064393
D5,1487,0.0926635773180265,0.14463573582336348,0.33072659228946266,0.23768116405641307
email_drift,2912,0.050903343236727155,0.28324092987063515,0.18167968183491,0.23246030585277258
D11,1869,0.06666650992391066,0.1817916545083163,0.23794017331421746,0.20986591391126688
temporal_drift,2515,0.04747933109367045,0.24462600914307947,0.16945900246113207,0.20704250580210576
composite_drift,2227,0.039681897981909645,0.21661316992510457,0.141629098238818,0.1791211340819613
P_emaildomain,2450,0.028733891738124174,0.23830366695846708,0.10255444882242265,0.17042905789044488
id_20,2336,0.025761242879380922,0.22721525143468535,0.09194473510771094,0.15957999327119815
DeviceInfo,2092,0.028556360289597092,0.2034821515416788,0.10192081937820141,0.1527014854599401
id_19,1929,0.01859414993763819,0.18762766267872774,0.06636458491440177,0.12699612379656475
id_31,1941,0.01479923019060625,0.18879486431281003,0.05282009513455702,0.12080747972368353
R_emaildomain,1424,0.026653181293359744,0.13850792724443148,0.09512816230451415,0.11681804477447282
id_33,1717,0.012567561958585424,0.16700710047660733,0.04485502351894484,0.10593106199777608
D13,1112,0.027747895045627042,0.10816068475829199,0.0990353171899466,0.1035980009741193
DeviceType,459,0.03569475725040672,0.0446454625036475,0.127398550430559,0.08602200646710326
velocity_drift,1217,0.014126003255396006,0.11837369905651202,0.050417273480527824,0.08439548626851992
id_30,1117,0.009505997767080108,0.10864701877249294,0.03392796111278604,0.07128748994263949
D6,890,0.010767690388139123,0.08656745452776968,0.03843108211412075,0.06249926832094521
D9,827,0.009201063720093348,0.08043964594883767,0.03283961765409521,0.05663963180146644
id_14,925,0.005245046868267435,0.08997179262717635,0.018720154426880173,0.05434597352702826
id_13,780,0.008794501965242743,0.0758681062153487,0.0313885536262573,0.053628329920803006
id_35,258,0.02230063253852466,0.025094835132769187,0.07959343270390856,0.05234413391833888
D12,736,0.008117768793880181,0.07158836689038031,0.028973217826239135,0.05028079235830972
id_12,341,0.017135029141338944,0.03316797976850501,0.061156820842845044,0.04716240030567503
D14,607,0.007232720881407151,0.05904094932399572,0.025814383594095096,0.04242766645904541
id_38,488,0.005572411729242239,0.04746619978601303,0.01988855595031724,0.03367737786816514
id_15,194,0.008129245922145078,0.018869759750996983,0.02901418097087676,0.02394197036093687
id_21,374,0.0009745153784344873,0.0363777842622313,0.003478153548261677,0.01992796890524649
id_28,69,0.004541259715183283,0.006711409395973154,0.016208259963343814,0.011459834679658484
id_11,187,0.0012069600332982205,0.01818889213111565,0.004307774320780973,0.011248333225948311
D7,155,0.0018464008025307328,0.01507635444022955,0.006590009398468621,0.010833181919349085
id_36,119,0.0008058644657580979,0.011574749537982687,0.002876219722152858,0.007225484630067772
id_16,115,0.0008018768449649501,0.011185682326621925,0.002861987460951306,0.0070238348937866155
id_32,97,0.0011575086268963894,0.009434879875498492,0.004131276762662016,0.006783078319080253
id_37,104,0.0007736924119487538,0.010115747495379827,0.002761394091292526,0.0064385707933361765
id_18,117,0.00032173860552356506,0.011380215932302306,0.0011483207932667645,0.006264268362784535
id_10,116,0.0003066561373749734,0.011282949129462115,0.0010944897904232374,0.0061887194599426765
id_23,86,0.000233913835962472,0.008364945044256396,0.0008348644429268655,0.00459990474359163
id_29,43,0.001200514950530699,0.004182472522128198,0.004284771105036235,0.004233621813582216
id_26,63,0.0004600826471187901,0.00612780857893201,0.0016420860326909887,0.0038849473058114995
id_34,54,0.0005683710707537619,0.005252407353370295,0.002028579435706035,0.003640493394538165
id_25,53,0.00012120717851528611,0.005155140550530104,0.00043260187305096465,0.002793871211790534
device_drift,17,5.174641527112291e-05,0.001653535648283241,0.00018468869949924327,0.000919112173891242
id_22,12,2.882900718395921e-05,0.0011672016340822876,0.00010289392640558514,0.0006350477802439364
id_24,3,6.666735789447939e-06,0.0002918004085205719,2.3794319981529455e-05,0.00015779736425105068
id_27,0,0.0,0.0,0.0,0.0
